line_key,line_name,rule_ref,authority,payment_grain,scope,code_system,code,qualifier,qualifier_means,binding_role,source_definition,adjudicated,vernacular_aliases,do_not_alias_with
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,755,2,severity of illness,grouped_to,ADJUSTMENT DISORDERS AND NEUROSES EXCEPT DEPRESSIVE DIAGNOSES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,755,3,severity of illness,grouped_to,ADJUSTMENT DISORDERS AND NEUROSES EXCEPT DEPRESSIVE DIAGNOSES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,755,4,severity of illness,grouped_to,ADJUSTMENT DISORDERS AND NEUROSES EXCEPT DEPRESSIVE DIAGNOSES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,756,1,severity of illness,grouped_to,ACUTE ANXIETY AND DELIRIUM STATES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,756,2,severity of illness,grouped_to,ACUTE ANXIETY AND DELIRIUM STATES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,756,3,severity of illness,grouped_to,ACUTE ANXIETY AND DELIRIUM STATES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,756,4,severity of illness,grouped_to,ACUTE ANXIETY AND DELIRIUM STATES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,757,1,severity of illness,grouped_to,ORGANIC MENTAL HEALTH DISTURBANCES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,757,2,severity of illness,grouped_to,ORGANIC MENTAL HEALTH DISTURBANCES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,757,3,severity of illness,grouped_to,ORGANIC MENTAL HEALTH DISTURBANCES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,757,4,severity of illness,grouped_to,ORGANIC MENTAL HEALTH DISTURBANCES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,758,1,severity of illness,grouped_to,BEHAVIORAL DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,758,2,severity of illness,grouped_to,BEHAVIORAL DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,758,3,severity of illness,grouped_to,BEHAVIORAL DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,758,4,severity of illness,grouped_to,BEHAVIORAL DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,759,1,severity of illness,grouped_to,EATING DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,759,2,severity of illness,grouped_to,EATING DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,759,3,severity of illness,grouped_to,EATING DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,759,4,severity of illness,grouped_to,EATING DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,760,1,severity of illness,grouped_to,OTHER MENTAL HEALTH DISORDERS,True,,
