filename,link_text,url,format,effective,rule_number,source_page,source_page_url,rate_class,corpus,bh_direct,bh_crosscut
Specialized Therapeutic Services Coverage and Limitations Handbook_ from tb on 5.21.25.pdf,Specialized Therapeutic Services Coverage and Limitations Handbook,https://ahca.myflorida.com/content/download/26529/file/Specialized%20Therapeutic%20Services%20Coverage%20and%20Limitations%20Handbook_%20from%20tb%20on%205.21.25.pdf,pdf,,,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
2024 Supplemental Payment Submission Forms-Max Entries.xls,Supplemental Payment Submission Forms-Max Entries,https://ahca.myflorida.com/content/download/5728/file/2024%20Supplemental%20Payment%20Submission%20Forms-Max%20Entries.xls,xls,2024,,FQHC/RHC Rates,https://ahca.myflorida.com/medicaid/cost-reimbursement/fqhc-rhc-rates-html.html,cost_reimbursement,rates,Y,
2024 Supplemental Payment Submission Forms-Min Entries.xls,Supplemental Payment Submission Forms-Min Entries,https://ahca.myflorida.com/content/download/5729/file/2024%20Supplemental%20Payment%20Submission%20Forms-Min%20Entries.xls,xls,2024,,FQHC/RHC Rates,https://ahca.myflorida.com/medicaid/cost-reimbursement/fqhc-rhc-rates-html.html,cost_reimbursement,rates,Y,
AIDS_SUPPLEMENTAL_PAYMENT_AUTHORIZATION_FORM.doc,AIDS Supplemental Payment Authorization Form,https://ahca.myflorida.com/content/download/5387/file/AIDS_SUPPLEMENTAL_PAYMENT_AUTHORIZATION_FORM.doc,doc,,,Nursing Home Supplemental Payments,https://ahca.myflorida.com/medicaid/cost-reimbursement/nursing-home-supplemental-payments-html.html,cost_reimbursement,rates,Y,
icf_dd_public_v8.pdf,Florida Title XIX Intermediate Care Facility for the Mentally Retarded and Developmentally Disabled for Publicly Owned and Operated Facilities Version VIII,https://ahca.myflorida.com/content/download/5577/file/icf_dd_public_v8.pdf,pdf,,,Intermediate Care Facility Rates,https://ahca.myflorida.com/medicaid/cost-reimbursement/intermediate-care-facility-rates-html.html,cost_reimbursement,rates,Y,
2025 Behavior Analysis Fee Schedule.pdf,Promulgated Fee Schedule,https://ahca.myflorida.com/content/download/26138/file/2025%20Behavior%20Analysis%20Fee%20Schedule.pdf,pdf,2025,,Rule 59G-4.002 Provider Reimbursement Schedules and Billing Codes,https://ahca.myflorida.com/medicaid/rules/rule-59g-4.002-provider-reimbursement-schedules-and-billing-codes.html,fee_schedule,rates,Y,
2025 Behavioral Health Overlay Services Fee.Schedule.pdf,Promulgated Fee Schedule,https://ahca.myflorida.com/content/download/26141/file/2025%20Behavioral%20Health%20Overlay%20Services%20Fee.Schedule.pdf,pdf,2025,,Rule 59G-4.002 Provider Reimbursement Schedules and Billing Codes,https://ahca.myflorida.com/medicaid/rules/rule-59g-4.002-provider-reimbursement-schedules-and-billing-codes.html,fee_schedule,rates,Y,
2025 CHB Fee Schedule.xlsx,Promulgated XLS,https://ahca.myflorida.com/content/download/26144/file/2025%20CHB%20Fee%20Schedule.xlsx,xlsx,2025,,Rule 59G-4.002 Provider Reimbursement Schedules and Billing Codes,https://ahca.myflorida.com/medicaid/rules/rule-59g-4.002-provider-reimbursement-schedules-and-billing-codes.html,fee_schedule,rates,Y,
2025 Community Behavoir Health Fee Schedule.pdf,Promulgated Fee Schedule,https://ahca.myflorida.com/content/download/26145/file/2025%20Community%20Behavoir%20Health%20Fee%20Schedule.pdf,pdf,2025,,Rule 59G-4.002 Provider Reimbursement Schedules and Billing Codes,https://ahca.myflorida.com/medicaid/rules/rule-59g-4.002-provider-reimbursement-schedules-and-billing-codes.html,fee_schedule,rates,Y,
2025 Community-Based Substance Abuse County Match Fee Schedule.pdf,Promulgated Fee Schedule,https://ahca.myflorida.com/content/download/26146/file/2025%20Community-Based%20Substance%20Abuse%20County%20Match%20Fee%20Schedule.pdf,pdf,2025,,Rule 59G-4.002 Provider Reimbursement Schedules and Billing Codes,https://ahca.myflorida.com/medicaid/rules/rule-59g-4.002-provider-reimbursement-schedules-and-billing-codes.html,fee_schedule,rates,Y,
